"id","ciprofloxacin","moxifloxacin"
"ERR2512539",NA,NA
"SRR6044856",NA,NA
"ERR2512389",NA,NA
"SRR6045085",NA,NA
"ERR2512541",NA,NA
"ERR2512542",NA,NA
"ERR2512543",NA,NA
"SRR6045992",NA,NA
"ERR2512544",NA,NA
"ERR2512545",NA,NA
"ERR2512546",NA,NA
"ERR2512398",NA,NA
"SRR6045433",NA,NA
"ERR2512548",NA,NA
"ERR2512549",NA,NA
"ERR2512550",NA,NA
"SRR6046456",NA,NA
"SRR6045783",NA,NA
"ERR2512551",NA,NA
"ERR2512552",NA,NA
"ERR2512553",NA,NA
"ERR2512554",NA,NA
"ERR2512555",NA,NA
"SRR6046075",NA,NA
"ERR2512556",NA,NA
"ERR2512557",NA,NA
"ERR2512558",NA,NA
"ERR2512559",NA,NA
"ERR2513411",NA,NA
"ERR2512561",NA,NA
"ERR2512562",NA,NA
"ERR2512563",NA,NA
"ERR2512564",NA,NA
"ERR2512565",NA,NA
"ERR2512566",NA,NA
"SRR6044956",NA,NA
"ERR2512567",NA,NA
"ERR2512568",NA,NA
"ERR2512569",NA,NA
"SRR6046812",NA,NA
"ERR2512570",NA,NA
"ERR2512571",NA,NA
"ERR2512572",NA,NA
"ERR2512573",NA,NA
"SRR3675224",NA,NA
"ERR2512574",NA,NA
"ERR2512575",NA,NA
"ERR2512576",NA,NA
"SRR6046668",NA,NA
"ERR2512577",NA,NA
"ERR2512578",NA,NA
"ERR2512579",NA,NA
"ERR2512580",NA,NA
"SRR6045967",NA,NA
"ERR2512581",NA,NA
"ERR2512582",NA,NA
"SRR6045034",NA,NA
"ERR2512583",NA,NA
"ERR2512584",NA,NA
"ERR2512585",NA,NA
"ERR2512586",NA,NA
"ERR2512587",NA,NA
"SRR6046585",NA,NA
"ERR2512588",NA,NA
"ERR2512590",NA,NA
"SRR6045502",NA,NA
"ERR2512591",NA,NA
"ERR2512592",NA,NA
"ERR2512593",NA,NA
"ERR2512594",NA,NA
"ERR2512595",NA,NA
"ERR2512596",NA,NA
"ERR2513907",NA,NA
"ERR2512598",NA,NA
"SRR6045574",NA,NA
"ERR2512599",NA,NA
"ERR2512600",NA,NA
"ERR2512601",NA,NA
"ERR2512602",NA,NA
"ERR2512603",NA,NA
"ERR2512604",NA,NA
"ERR2512605",NA,NA
"ERR2512606",NA,NA
"ERR2512607",NA,NA
"ERR2512608",NA,NA
"ERR2512609",NA,NA
"ERR2512610",NA,NA
"ERR2512611",NA,NA
"ERR2512612",NA,NA
"SRR6045288",NA,NA
"ERR2512613",NA,NA
"ERR2512614",NA,NA
"ERR2512615",NA,NA
"ERR2513464",NA,NA
"SRR6046297",NA,NA
"ERR2512617",NA,NA
"ERR2512618",NA,NA
"ERR2512619",NA,NA
"ERR2513624",NA,NA
"ERR2512621",NA,NA
"SRR6044817",NA,NA
"ERR2512622",NA,NA
"SRR6045841",NA,NA
"SRR6045966",NA,NA
"ERR2512624",NA,NA
"ERR2512625",NA,NA
"SRR6046418",NA,NA
"ERR2512626",NA,NA
"ERR2512627",NA,NA
"ERR2512628",NA,NA
"SRR6045462",NA,NA
"ERR2512629",NA,NA
"ERR2512630",NA,NA
"ERR2512631",NA,NA
"ERR2512632",NA,NA
"ERR2512633",NA,NA
"ERR2512560",NA,NA
"ERR2512635",NA,NA
"ERR2512636",NA,NA
"ERR2512637",NA,NA
"ERR2512638",NA,NA
"ERR2512639",NA,NA
"SRR6046376",NA,NA
"SRR6044909",NA,NA
"SRR6045825",NA,NA
"SRR6046291",NA,NA
"ERR2512640",NA,NA
"SRR6046243",NA,NA
"ERR2512642",NA,NA
"ERR2512643",NA,NA
"ERR2512644",NA,NA
"ERR2512645",NA,NA
"ERR2512646",NA,NA
"ERR2512647",NA,NA
"ERR2512648",NA,NA
"ERR2512649",NA,NA
"SRR6046269",NA,NA
"ERR2512650",NA,NA
"ERR2512651",NA,NA
"ERR2512652",NA,NA
"ERR2512653",NA,NA
"ERR2512654",NA,NA
"ERR2512655",NA,NA
"ERR2512656",NA,NA
"ERR2512657",NA,NA
"ERR2512658",NA,NA
"ERR2512659",NA,NA
"ERR2512660",NA,NA
"ERR2512661",NA,NA
"ERR2512662",NA,NA
"ERR2513783",NA,NA
"ERR2512664",NA,NA
"ERR2512665",NA,NA
"ERR2512666",NA,NA
"ERR2512667",NA,NA
"ERR2512668",NA,NA
"ERR2512669",NA,NA
"ERR2512670",NA,NA
"SRR6045175",NA,NA
"ERR2512671",NA,NA
"SRR6045714",NA,NA
"ERR2512672",NA,NA
"ERR2513305",NA,NA
"ERR2512674",NA,NA
"SRR6046902",NA,NA
"ERR2512675",NA,NA
"ERR2512676",NA,NA
"ERR2512677",NA,NA
"ERR2512678",NA,NA
"ERR2512679",NA,NA
"ERR2512680",NA,NA
"ERR2512681",NA,NA
"ERR2512682",NA,NA
"SRR6046827",NA,NA
"ERR2512683",NA,NA
"ERR2512684",NA,NA
"ERR2512685",NA,NA
"ERR2512686",NA,NA
"SRR6045472",NA,NA
"ERR2512687",NA,NA
"ERR2512688",NA,NA
"SRR6045993",NA,NA
"ERR2512689",NA,NA
"ERR2512690",NA,NA
"SRR6045024",NA,NA
"ERR2513583",NA,NA
"ERR2512692",NA,NA
"ERR2512693",NA,NA
"SRR6046159",NA,NA
"ERR2512694",NA,NA
"ERR2512695",NA,NA
"ERR2512696",NA,NA
"ERR2512391",NA,NA
"ERR2512698",NA,NA
"ERR2512699",NA,NA
"ERR2512700",NA,NA
"ERR2512397",NA,NA
"SRR6045255",NA,NA
"ERR2512702",NA,NA
"ERR2512765",NA,NA
"ERR2512704",NA,NA
"ERR2512705",NA,NA
"ERR2512706",NA,NA
"ERR2512707",NA,NA
"ERR2512708",NA,NA
"ERR2512709",NA,NA
"ERR2512710",NA,NA
"ERR2512711",NA,NA
"ERR2512712",NA,NA
"ERR2512713",NA,NA
"ERR2512714",NA,NA
"ERR2512715",NA,NA
"SRR6045012",NA,NA
"ERR2512716",NA,NA
"ERR2512814",NA,NA
"ERR2512718",NA,NA
"ERR2512719",NA,NA
"ERR2512720",NA,NA
"ERR2512547",NA,NA
"ERR2512722",NA,NA
"ERR2512723",NA,NA
"ERR2512724",NA,NA
"ERR2512725",NA,NA
"SRR6045417",NA,NA
"ERR2512726",NA,NA
"ERR2512727",NA,NA
"ERR2512728",NA,NA
"ERR2512729",NA,NA
"ERR2512730",NA,NA
"SRR6046088",NA,NA
"ERR2512731",NA,NA
"ERR2512732",NA,NA
"SRR6045741",NA,NA
"SRR6046149",NA,NA
"ERR2512733",NA,NA
"SRR6045185",NA,NA
"ERR2512734",NA,NA
"SRR6046710",NA,NA
"ERR2512735",NA,NA
"SRR6045072",NA,NA
"ERR2512736",NA,NA
"SRR6046628",NA,NA
"ERR2512737",NA,NA
"ERR2512738",NA,NA
"ERR2512739",NA,NA
"ERR2512740",NA,NA
"ERR2512741",NA,NA
"ERR2512742",NA,NA
"ERR2512743",NA,NA
"ERR2512744",NA,NA
"ERR2512745",NA,NA
"SRR6045971",NA,NA
"ERR2512746",NA,NA
"SRR6046190",NA,NA
"ERR2512747",NA,NA
"ERR2512748",NA,NA
"ERR2512749",NA,NA
"ERR2512750",NA,NA
"SRR6046706",NA,NA
"SRR6045790",NA,NA
"ERR2512751",NA,NA
"ERR2512752",NA,NA
"ERR2512753",NA,NA
"ERR2512754",NA,NA
"SRR6044873",NA,NA
"ERR2512755",NA,NA
"ERR2512756",NA,NA
"ERR2512757",NA,NA
"ERR2512758",NA,NA
"ERR2512759",NA,NA
"ERR2512760",NA,NA
"ERR2512761",NA,NA
"ERR2512762",NA,NA
"SRR6045726",NA,NA
"ERR2512763",NA,NA
"ERR2512764",NA,NA
"ERR2512406",NA,NA
"ERR2512766",NA,NA
"SRR6045739",NA,NA
"ERR2512767",NA,NA
"ERR2512768",NA,NA
"ERR2512769",NA,NA
"ERR2512770",NA,NA
"ERR2512771",NA,NA
"ERR2512772",NA,NA
"ERR2512773",NA,NA
"SRR6046544",NA,NA
"ERR2512774",NA,NA
"SRR6046082",NA,NA
"ERR2512775",NA,NA
"ERR2512776",NA,NA
"ERR2512777",NA,NA
"ERR2512778",NA,NA
"ERR2512779",NA,NA
"ERR2512780",NA,NA
"ERR2512781",NA,NA
"ERR2512782",NA,NA
"SRR6044821",NA,NA
"ERR2512783",NA,NA
"ERR2512784",NA,NA
"ERR2512785",NA,NA
"ERR2512786",NA,NA
"ERR2512787",NA,NA
"ERR2512788",NA,NA
"ERR2512789",NA,NA
"ERR2512790",NA,NA
"ERR2512791",NA,NA
"ERR2512792",NA,NA
"ERR2512793",NA,NA
"ERR2512794",NA,NA
"SRR6046354",NA,NA
"ERR2512795",NA,NA
"SRR6046093",NA,NA
"ERR2512796",NA,NA
"ERR2512797",NA,NA
"SRR6045022",NA,NA
"ERR2512798",NA,NA
"ERR2512799",NA,NA
"ERR2512800",NA,NA
"ERR2512801",NA,NA
"ERR2512802",NA,NA
"ERR2512803",NA,NA
"ERR2512804",NA,NA
"ERR2512805",NA,NA
"ERR2512806",NA,NA
"ERR2512807",NA,NA
"ERR2512808",NA,NA
"ERR2512809",NA,NA
"SRR6045559",NA,NA
"SRR6045810",NA,NA
"ERR2512810",NA,NA
"ERR2512811",NA,NA
"ERR2512812",NA,NA
"ERR2512813",NA,NA
"SRR6044889",NA,NA
"ERR2513337",NA,NA
"ERR2512815",NA,NA
"ERR2512816",NA,NA
"ERR2512817",NA,NA
"ERR2512818",NA,NA
"ERR2512819",NA,NA
"SRR6045065",NA,NA
"SRR6044904",NA,NA
"ERR2512820",NA,NA
"ERR2512821",NA,NA
"ERR2512822",NA,NA
"ERR2512823",NA,NA
"ERR2512824",NA,NA
"ERR2512825",NA,NA
"ERR2512826",NA,NA
"SRR6046575",NA,NA
"ERR2512827",NA,NA
"ERR2512828",NA,NA
"SRR6045343",NA,NA
"ERR2512829",NA,NA
"SRR6046192",NA,NA
"ERR2512830",NA,NA
"ERR2512831",NA,NA
"SRR6046258",NA,NA
"SRR6046248",NA,NA
"ERR2512832",NA,NA
"ERR2512833",NA,NA
"SRR6046901",NA,NA
"ERR2512834",NA,NA
"ERR2512835",NA,NA
"ERR2512836",NA,NA
"ERR2512837",NA,NA
"ERR2512838",NA,NA
"SRR6045197",NA,NA
"ERR2512839",NA,NA
"ERR2512840",NA,NA
"ERR2512841",NA,NA
"ERR2512842",NA,NA
"SRR6045261",NA,NA
"ERR2512843",NA,NA
"ERR2512844",NA,NA
"ERR2512845",NA,NA
"ERR2512846",NA,NA
"ERR2512847",NA,NA
"ERR2512848",NA,NA
"ERR2512849",NA,NA
"ERR2512850",NA,NA
"ERR2512851",NA,NA
"ERR2512852",NA,NA
"ERR2512853",NA,NA
"ERR2512854",NA,NA
"SRR6044937",NA,NA
"ERR2512855",NA,NA
"SRR6046236",NA,NA
"ERR2512856",NA,NA
"ERR2512857",NA,NA
"SRR6045806",NA,NA
"ERR2512858",NA,NA
"SRR6045424",NA,NA
"ERR2512859",NA,NA
"ERR2512860",NA,NA
"ERR2512861",NA,NA
"ERR2512862",NA,NA
"ERR2512864",NA,NA
"ERR2512865",NA,NA
"ERR2512866",NA,NA
"ERR2512867",NA,NA
"ERR2512868",NA,NA
"ERR2512673",NA,NA
"SRR6046475",NA,NA
"ERR2512870",NA,NA
"ERR2512871",NA,NA
"SRR6046413",NA,NA
"ERR2512872",NA,NA
"ERR2512873",NA,NA
"ERR2512874",NA,NA
"ERR2512875",NA,NA
"ERR2512876",NA,NA
"ERR2512877",NA,NA
"ERR2512396",NA,NA
"ERR2512879",NA,NA
"ERR2512880",NA,NA
"SRR6045873",NA,NA
"SRR6044919",NA,NA
"ERR2512881",NA,NA
"ERR2512882",NA,NA
"ERR2512883",NA,NA
"ERR2512884",NA,NA
"ERR2512885",NA,NA
"ERR2512886",NA,NA
"SRR6046481",NA,NA
"ERR2512887",NA,NA
"ERR2513712",NA,NA
"SRR6046895",NA,NA
"SRR6045243",NA,NA
"ERR2512889",NA,NA
"ERR2512890",NA,NA
"ERR2512891",NA,NA
"ERR2512892",NA,NA
"ERR2512893",NA,NA
"ERR2512894",NA,NA
"ERR2512895",NA,NA
"ERR2512896",NA,NA
"ERR2512897",NA,NA
"ERR2512898",NA,NA
"ERR2512899",NA,NA
"SRR6046405",NA,NA
"ERR2512900",NA,NA
"ERR2512901",NA,NA
"ERR2512902",NA,NA
"SRR6046891",NA,NA
"SRR6045691",NA,NA
"ERR2512903",NA,NA
"ERR2512904",NA,NA
"ERR2512905",NA,NA
"ERR2512906",NA,NA
"ERR2512907",NA,NA
"SRR6045316",NA,NA
"SRR6045148",NA,NA
"ERR2512908",NA,NA
"ERR2512909",NA,NA
"SRR6045135",NA,NA
"ERR2512910",NA,NA
"SRR6046177",NA,NA
"ERR2512911",NA,NA
"ERR2512912",NA,NA
"ERR2512913",NA,NA
"ERR2512914",NA,NA
"ERR2512915",NA,NA
"ERR2512916",NA,NA
"SRR6046865",NA,NA
"ERR2512917",NA,NA
"ERR2512918",NA,NA
"ERR2512919",NA,NA
"ERR2512920",NA,NA
"ERR2512921",NA,NA
"SRR6046634",NA,NA
"ERR2512922",NA,NA
"ERR2512923",NA,NA
"ERR2512924",NA,NA
"ERR2512925",NA,NA
"ERR2512926",NA,NA
"SRR6046786",NA,NA
"SRR6045447",NA,NA
"SRR6045284",NA,NA
"ERR2512927",NA,NA
"ERR2512928",NA,NA
"SRR6046553",NA,NA
"ERR2512929",NA,NA
"SRR6045905",NA,NA
"ERR2512930",NA,NA
"ERR2512931",NA,NA
"ERR2512932",NA,NA
"SRR6045000",NA,NA
"ERR2512933",NA,NA
"ERR2512934",NA,NA
"ERR2512935",NA,NA
"SRR6044912",NA,NA
"SRR6045584",NA,NA
"SRR6045915",NA,NA
"ERR2512936",NA,NA
"SRR6045529",NA,NA
"SRR6045165",NA,NA
"ERR2512937",NA,NA
"ERR2512938",NA,NA
"ERR2512939",NA,NA
"ERR2512940",NA,NA
"ERR2512941",NA,NA
"ERR2512942",NA,NA
"ERR2512943",NA,NA
"ERR2512944",NA,NA
"SRR6045106",NA,NA
"ERR2512945",NA,NA
"ERR2512946",NA,NA
"ERR2512947",NA,NA
"ERR2512948",NA,NA
"SRR6046034",NA,NA
"SRR6046246",NA,NA
"ERR2512949",NA,NA
"ERR2512412",NA,NA
"ERR2512951",NA,NA
"ERR2512952",NA,NA
"ERR2512953",NA,NA
"ERR2512954",NA,NA
"ERR2512955",NA,NA
"ERR2512956",NA,NA
"ERR2512957",NA,NA
"ERR2512958",NA,NA
"SRR6046329",NA,NA
"ERR2512959",NA,NA
"ERR2512960",NA,NA
"ERR2512961",NA,NA
"ERR2512962",NA,NA
"SRR6046002",NA,NA
"ERR2512963",NA,NA
"SRR6044896",NA,NA
"ERR2512964",NA,NA
"ERR2512965",NA,NA
"SRR6045781",NA,NA
"ERR2512966",NA,NA
"ERR2512967",NA,NA
"ERR2512968",NA,NA
"ERR2512969",NA,NA
"ERR2512970",NA,NA
"ERR2512971",NA,NA
"ERR2512972",NA,NA
"ERR2512974",NA,NA
"ERR2512975",NA,NA
"ERR2512976",NA,NA
"ERR2512977",NA,NA
"ERR2512978",NA,NA
"SRR6045715",NA,NA
"ERR2512979",NA,NA
"ERR2512980",NA,NA
"ERR2512981",NA,NA
"ERR2512982",NA,NA
"ERR2512983",NA,NA
"SRR6045805",NA,NA
"SRR6044858",NA,NA
"ERR2512985",NA,NA
"ERR2512986",NA,NA
"ERR2512987",NA,NA
"ERR2512988",NA,NA
"SRR6045163",NA,NA
"SRR6046484",NA,NA
"ERR2512989",NA,NA
"ERR2512990",NA,NA
"ERR2512991",NA,NA
"ERR2512992",NA,NA
"SRR6045833",NA,NA
"ERR2512993",NA,NA
"ERR2512994",NA,NA
"ERR2512995",NA,NA
"ERR2512996",NA,NA
"ERR2512997",NA,NA
"SRR6046639",NA,NA
"ERR2512998",NA,NA
"SRR6045696",NA,NA
"ERR2512999",NA,NA
"ERR2513000",NA,NA
"ERR2513001",NA,NA
"SRR6045991",NA,NA
"ERR2513002",NA,NA
"ERR2513003",NA,NA
"ERR2513004",NA,NA
"ERR2513005",NA,NA
"ERR2513006",NA,NA
"ERR2513007",NA,NA
"SRR6044964",NA,NA
"ERR2513008",NA,NA
"ERR2513009",NA,NA
"ERR2513010",NA,NA
"ERR2513011",NA,NA
"ERR2513012",NA,NA
"ERR2513013",NA,NA
"SRR6046613",NA,NA
"ERR2513014",NA,NA
"ERR2513015",NA,NA
"ERR2513016",NA,NA
"ERR2513514",NA,NA
"ERR2513018",NA,NA
"ERR2513403",NA,NA
"ERR2513020",NA,NA
"ERR2512402",NA,NA
"SRR6045309",NA,NA
"ERR2513022",NA,NA
"SRR6045455",NA,NA
"ERR2513023",NA,NA
"SRR6045144",NA,NA
"ERR2513024",NA,NA
"ERR2513025",NA,NA
"SRR6045753",NA,NA
"ERR2513026",NA,NA
"SRR6045046",NA,NA
"ERR2513027",NA,NA
"ERR2513028",NA,NA
"SRR6045142",NA,NA
"ERR2513029",NA,NA
"ERR2513030",NA,NA
"ERR2513031",NA,NA
"ERR2513032",NA,NA
"ERR2513226",NA,NA
"ERR2513034",NA,NA
"ERR2513036",NA,NA
"SRR6045837",NA,NA
"SRR6046288",NA,NA
"SRR6045366",NA,NA
"ERR2513037",NA,NA
"SRR6045591",NA,NA
"SRR6045640",NA,NA
"ERR2513038",NA,NA
"ERR2513039",NA,NA
"ERR2513040",NA,NA
"ERR2513041",NA,NA
"ERR2513042",NA,NA
"SRR6045768",NA,NA
"SRR6045245",NA,NA
"ERR2513043",NA,NA
"ERR2513044",NA,NA
"ERR2513045",NA,NA
"ERR2513046",NA,NA
"ERR2513731",NA,NA
"ERR2513048",NA,NA
"ERR2513049",NA,NA
"ERR2513050",NA,NA
"ERR2513051",NA,NA
"ERR2513052",NA,NA
"SRR6046695",NA,NA
"ERR2513053",NA,NA
"ERR2513054",NA,NA
"ERR2513055",NA,NA
"SRR6046662",NA,NA
"ERR2513056",NA,NA
"SRR6046016",NA,NA
"ERR2513057",NA,NA
"SRR6045758",NA,NA
"ERR2513058",NA,NA
"ERR2513059",NA,NA
"ERR2513060",NA,NA
"ERR2513061",NA,NA
"ERR2513062",NA,NA
"ERR2513063",NA,NA
"ERR2513064",NA,NA
"SRR6044933",NA,NA
"SRR6044955",NA,NA
"ERR2513065",NA,NA
"ERR2513066",NA,NA
"SRR6045271",NA,NA
"ERR2513067",NA,NA
"ERR2513068",NA,NA
"SRR6046530",NA,NA
"ERR2513069",NA,NA
"ERR2513070",NA,NA
"ERR2513071",NA,NA
"ERR2513072",NA,NA
"ERR2513035",NA,NA
"ERR2513074",NA,NA
"SRR6045520",NA,NA
"ERR2513075",NA,NA
"ERR2513076",NA,NA
"ERR2513077",NA,NA
"ERR2513078",NA,NA
"ERR2513079",NA,NA
"ERR2513080",NA,NA
"ERR2513081",NA,NA
"SRR6045089",NA,NA
"ERR2513082",NA,NA
"SRR6046894",NA,NA
"ERR2513083",NA,NA
"ERR2513084",NA,NA
"ERR2513085",NA,NA
"ERR2513086",NA,NA
"ERR2513087",NA,NA
"ERR2513088",NA,NA
"ERR2513089",NA,NA
"ERR2513090",NA,NA
"SRR6044837",NA,NA
"ERR2513091",NA,NA
"SRR6045670",NA,NA
"ERR2513092",NA,NA
"SRR6046848",NA,NA
"ERR2513093",NA,NA
"ERR2513094",NA,NA
"ERR2513095",NA,NA
"ERR2513096",NA,NA
"SRR6044803",NA,NA
"ERR2513097",NA,NA
"ERR2513098",NA,NA
"ERR2513099",NA,NA
"ERR2513100",NA,NA
"ERR2513101",NA,NA
"ERR2513102",NA,NA
"ERR2513103",NA,NA
"ERR2513104",NA,NA
"SRR6046369",NA,NA
"ERR2513105",NA,NA
"SRR6046098",NA,NA
"ERR2513106",NA,NA
"ERR2513107",NA,NA
"ERR2513108",NA,NA
"ERR2513109",NA,NA
"ERR2513110",NA,NA
"ERR2513111",NA,NA
"SRR6045880",NA,NA
"ERR2513112",NA,NA
"ERR2513113",NA,NA
"SRR6046193",NA,NA
"ERR2513114",NA,NA
"ERR2513115",NA,NA
"ERR2513116",NA,NA
"ERR2513117",NA,NA
"ERR2513118",NA,NA
"ERR2513119",NA,NA
"ERR2513120",NA,NA
"ERR2513121",NA,NA
"ERR2513122",NA,NA
"ERR2513123",NA,NA
"ERR2513124",NA,NA
"ERR2513125",NA,NA
"ERR2513126",NA,NA
"ERR2513127",NA,NA
"ERR2513128",NA,NA
"ERR2513129",NA,NA
"ERR2513130",NA,NA
"ERR2513131",NA,NA
"SRR6045557",NA,NA
"ERR2513132",NA,NA
"ERR2513133",NA,NA
"ERR2513134",NA,NA
"ERR2513135",NA,NA
"ERR2513136",NA,NA
"ERR2513137",NA,NA
"ERR2513138",NA,NA
"ERR2513139",NA,NA
"ERR2513140",NA,NA
"ERR2513141",NA,NA
"ERR2513142",NA,NA
"SRR6046127",NA,NA
"ERR2513143",NA,NA
"ERR2513144",NA,NA
"SRR6045689",NA,NA
"ERR2513145",NA,NA
"ERR2513146",NA,NA
"ERR2513147",NA,NA
"ERR2513148",NA,NA
"ERR2513149",NA,NA
"ERR2513150",NA,NA
"SRR6045556",NA,NA
"ERR2513151",NA,NA
"SRR6045932",NA,NA
"ERR2513152",NA,NA
"ERR2513153",NA,NA
"ERR2513154",NA,NA
"ERR2513155",NA,NA
"ERR2513019",NA,NA
"ERR2513157",NA,NA
"ERR2513158",NA,NA
"ERR2513159",NA,NA
"ERR2513160",NA,NA
"ERR2513161",NA,NA
"ERR2513162",NA,NA
"ERR2513163",NA,NA
"ERR2513164",NA,NA
"ERR2513165",NA,NA
"ERR2513166",NA,NA
"ERR2513167",NA,NA
"ERR2513168",NA,NA
"ERR2513169",NA,NA
"ERR2513170",NA,NA
"ERR2513171",NA,NA
"ERR2513172",NA,NA
"ERR2513173",NA,NA
"ERR2513174",NA,NA
"SRR6046137",NA,NA
"ERR2513175",NA,NA
"ERR2513176",NA,NA
"ERR2513177",NA,NA
"ERR2513178",NA,NA
"SRR6046888",NA,NA
"ERR2513179",NA,NA
"ERR2513180",NA,NA
"ERR2513181",NA,NA
"ERR2513182",NA,NA
"ERR2513183",NA,NA
"ERR2513184",NA,NA
"ERR2513185",NA,NA
"ERR2513186",NA,NA
"SRR6046730",NA,NA
"ERR2513187",NA,NA
"ERR2513188",NA,NA
"ERR2513189",NA,NA
"ERR2513190",NA,NA
"ERR2513191",NA,NA
"SRR6045200",NA,NA
"ERR2513192",NA,NA
"ERR2513193",NA,NA
"SRR6046558",NA,NA
"ERR2513194",NA,NA
"ERR2513195",NA,NA
"ERR2513196",NA,NA
"ERR2513197",NA,NA
"ERR2513198",NA,NA
"ERR2513199",NA,NA
"ERR2513200",NA,NA
"ERR2513201",NA,NA
"ERR2513202",NA,NA
"ERR2513203",NA,NA
"SRR6046222",NA,NA
"ERR2513204",NA,NA
"ERR2513205",NA,NA
"ERR2513206",NA,NA
"ERR2513207",NA,NA
"ERR2513208",NA,NA
"SRR6045400",NA,NA
"ERR2512480",NA,NA
"ERR2513210",NA,NA
"ERR2513211",NA,NA
"ERR2513212",NA,NA
"SRR6046762",NA,NA
"SRR6045496",NA,NA
"ERR2513213",NA,NA
"ERR2513214",NA,NA
"ERR2512878",NA,NA
"ERR2513216",NA,NA
"SRR3675285",NA,NA
"ERR2513217",NA,NA
"ERR2513218",NA,NA
"ERR2513219",NA,NA
"ERR2513220",NA,NA
"ERR2513221",NA,NA
"ERR2513222",NA,NA
